"Word","Freq_HAL"
"a","10610626"
"aah","222"
"Aaron","10806"
"aback","387"
"abacus","513"
"abandon","3761"
"abandoned","5160"
"abandoning","1005"
"abandonment","786"
"abase","30"
"abasement","7"
"abash","1"
"abate","279"
"abated","144"
"abbess","33"
"abbey","2286"
"abbot","616"
"abbreviate","203"
"abide","1967"
"abides","443"
"abiding","1363"
"Abigail","693"
"abbreviated","1214"
"abbreviation","1908"
"abbreviations","2480"
"abdicate","118"
"abdomen","1279"
"abdominal","850"
"abduct","180"
"abduction","1995"
"Abe","1235"
"abed","143"
"Abel","1009"
"Abel's","52"
"aberrant","166"
"aberration","556"
"aberrations","299"
"abet","81"
"abetted","132"
"abeyance","36"
"abhor","383"
"abhorred","87"
"abhorrent","366"
"abilities","9029"
"ability","56922"
"abject","505"
"ablaze","154"
"able","176528"
"ably","256"
"abnormal","2204"
"abnormalities","644"
"abnormality","291"
"abnormally","372"
"aboard","3721"
"abode","486"
"abolish","1606"
"abolished","1458"
"abolition","827"
"abolitionist","134"
"abolitionists","100"
"abominate","3"
"aborigines","511"
"abort","2778"
"abominable","473"
"aboriginal","1459"
"aborigine","71"
"abortion","16764"
"abortionist","206"
"abortions","3768"
"abortive","213"
"abound","1065"
"abounded","78"
"abounding","100"
"abounds","314"
"about","1307019"
"above","177919"
"aboveground","19"
"abracadabra","73"
"Abraham","3824"
"abrasion","250"
"abrasive","576"
"abreast","491"
"abridged","797"
"abridgment","42"
"abroad","5984"
"abrogate","100"
"abrogated","128"
"abrupt","719"
"abruptly","1230"
"abruptness","23"
"abscess","96"
"abscesses","109"
"abscissa","18"
"abscond","17"
"absence","7304"
"absences","143"
"absent","3019"
"absented","4"
"absentee","152"
"absenteeism","78"
"absently","190"
"absinth","8"
"absolute","16840"
"absoluteness","23"
"absentmindedly","49"
"absolutely","36965"
"absolutes","587"
"absolution","140"
"absolutism","197"
"absolve","223"
"absorb","2787"
"absorbed","2954"
"absorbency","82"
"absorbent","193"
"absorber","143"
"absorbing","933"
"absorbs","619"
"absorption","1735"
"absorptions","11"
"absorptive","32"
"abstain","960"
"abstaining","190"
"abstention","72"
"abstinence","983"
"abstinent","73"
"abstract","8606"
"abstracted","261"
"abstractedness","2"
"abstracting","113"
"abstraction","1596"
"abstractionism","1"
"abstractionists","3"
"abstractions","512"
"abstractive","7"
"abstractly","143"
"abstractors","0"
"abstracts","4089"
"abstruse","157"
"absurd","4985"
"absurdities","300"
"absurdity","1084"
"absurdly","316"
"abundance","1825"
"abundant","1381"
"abuse","25915"
"abused","6038"
"abuses","3312"
"abusive","3526"
"abut","259"
"abutment","19"
"abutments","18"
"abysmal","619"
"abyss","4219"
"acacia","213"
"academic","17622"
"academically","725"
"academicianship","1"
"academics","1817"
"academies","967"
"academy","12050"
"Acadia","305"
"Acapulco","180"
"accede","149"
"acceded","62"
"accent","5213"
"accelerando","7"
"accelerate","2368"
"accelerated","3367"
"accelerating","1037"
"acceleration","4203"
"accelerations","169"
"accelerator","5152"
"accelerators","1466"
"accelerometer","70"
"accelerometers","63"
"accented","1182"
"accenting","54"
"accents","1796"
"accentual","1"
"accentuate","161"
"accentuated","193"
"accentuates","57"
"accept","49430"
"accolade","703"
"acceptable","16372"
"acceptance","8774"
"accepted","33901"
"accepting","7649"
"accepts","4586"
"access","172256"
"accesses","2369"
"accessible","10758"
"accessions","48"
"accessories","5737"
"accessors","173"
"accessory","1342"
"accident","11152"
"accidental","2346"
"accidents","4163"
"acclaim","889"
"accidentally","4432"
"acclaimed","1049"
"acclaims","7"
"acclimate","97"
"acclamation","26"
"acclimatized","17"
"accolades","227"
"accommodate","2454"
"accommodated","301"
"accommodates","136"
"accommodating","447"
"accommodation","2006"
"accommodations","1434"
"accompanied","4441"
"accompanies","722"
"accompaniment","711"
"accompaniments","36"
"accompanist","156"
"accompanists","73"
"accompany","2138"
"acorns","359"
"acoustic","5401"
"acoustical","270"
"acoustics","1240"
"accompanying","2991"
"accomplice","281"
"accomplices","220"
"accomplish","7794"
"accomplished","6982"
"accomplishes","592"
"accomplishing","704"
"accomplishment","1301"
"accomplishments","1990"
"accord","3524"
"accordance","4854"
"accorded","563"
"according","64745"
"accordingly","5108"
"accordion","590"
"accords","974"
"accost","31"
"accosted","168"
"accosting","24"
"account","60958"
"accountable","2339"
"accountant","1527"
"accountability","1478"
"accountants","1506"
"accounted","1502"
"accounting","15754"
"accounts","18019"
"accredit","35"
"accreditation","561"
"accredited","1049"
"accrue","611"
"accrued","230"
"accrues","63"
"accruing","155"
"acculturated","24"
"acculturation","35"
"accumulate","1392"
"accumulates","249"
"ached","296"
"aches","419"
"accumulated","2137"
"accumulating","553"
"achieve","15544"
"achieved","8305"
"accumulation","1206"
"accuracy","10534"
"accurate","21492"
"accurately","5396"
"accurst","4"
"accusation","2176"
"accusations","3477"
"accusative","103"
"accuse","3798"
"accused","9093"
"accuses","809"
"accusing","2296"
"accusingly","39"
"accustom","75"
"acolyte","444"
"acorn","8301"
"accustomed","1691"
"ace","6967"
"acerbic","76"
"aces","1837"
"acetate","547"
"acetone","423"
"acetylene","82"
"ache","846"
"achievement","3925"
"achievements","2085"
"achieves","762"
"achieving","3180"
"Achilles","688"
"aching","1099"
"acid","13610"
"acidic","809"
"acidity","256"
"acids","2326"
"acknowledges","1067"
"acme","911"
"acne","536"
"acknowledge","6783"
"acknowledged","3936"
"acknowledgement","1823"
"acknowledging","1216"
"acknowledgment","948"
"acknowledgments","409"
"acoustically","157"
"acquaint","167"
"acquaintance","1275"
"acquainted","1022"
"acquiesce","108"
"acquiesced","111"
"acquiescence","91"
"acquiescent","19"
"acquire","6529"
"acquired","6388"
"acquires","460"
"acquiring","1952"
"acrylic","844"
"act","72216"
"acquisition","5006"
"acquisitions","1098"
"acquisitive","40"
"acquit","100"
"acquittal","249"
"acquitted","608"
"acre","1554"
"acquisitiveness","4"
"acreage","231"
"acres","3930"
"acrid","111"
"acrimonious","113"
"acrimony","89"
"acrobat","2449"
"acrobatic","167"
"acrobatics","401"
"acrobats","66"
"acronym","1966"
"Acropolis","109"
"across","62336"
"acted","4894"
"acting","16012"
"action","77756"
"actions","29726"
"activate","3486"
"activated","3246"
"activating","655"
"activation","1918"
"active","35565"
"actively","7101"
"activism","1558"
"activist","3525"
"activities","32765"
"activity","26484"
"actor","10471"
"actors","7249"
"actor's","363"
"actress","4996"
"actresses","1663"
"acts","19423"
"actual","40919"
"actualities","38"
"actuality","950"
"actually","196457"
"actuary","49"
"acuity","228"
"acupuncture","525"
"acute","2427"
"acutely","332"
"acuteness","19"
"ad","43254"
"Ada","15432"
"adage","503"
"Adam","19626"
"adamant","624"
"adamantly","329"
"zoologist","301"
"zoology","707"
"zoom","4920"
"zooming","523"
"zooms","385"
"zucchini","314"
"Zurich","1770"
"won","27563"
"wonder","51799"
"wondered","9133"
"wonderful","31958"
"wonderfully","2286"
"wonderfulness","50"
"wondering","41742"
"wonderingly","17"
"wonderland","965"
"wonders","4983"
"wondrous","573"
"wondrously","35"
"wont","5408"
"won't","112554"
"woo","1986"
"wood","24035"
"woodbine","64"
"woodblock","20"
"woodcarver","28"
"woodcock","511"
"woodcraft","92"
"woodcut","22"
"woodcutter","18"
"woodcutters","4"
"wooded","462"
"wooden","8164"
"woodgraining","0"
"woodland","926"
"woodman","138"
"woodpecker","368"
"woodpile","27"
"Woodrow","433"
"woods","9313"
"woodshed","63"
"woodsman","93"
"Woodward","1373"
"woodwind","281"
"woodwork","464"
"woodworm","15"
"woody","3061"
"woodyard","6"
"woodworking","871"
"wooed","47"
"woof","954"
"wool","2066"
"woolen","110"
"woollen","51"
"woolly","448"
"woolworkers","0"
"Woolworth's","69"
"woozy","71"
"Worcester","1692"
"word","138155"
"worded","1046"
"wording","3360"
"wordless","110"
"wordplay","119"
"words","99249"
"Wordsworth","206"
"wordy","267"
"wore","5574"
"work","451298"
"workable","1678"
"workbag","0"
"workbasket","8"
"workbench","2804"
"workbook","558"
"workday","137"
"worked","59752"
"worker","7057"
"workers","18819"
"worker's","484"
"workhorse","220"
"workhouse","14"
"working","134669"
"workingmen","24"
"workings","1486"
"workman","568"
"workman's","79"
"workmanship","395"
"workmen","96"
"workout","2588"
"workouts","683"
"workpeople","1"
"workpiece","61"
"workroom","32"
"works","139173"
"work's","126"
"worksheet","421"
"workshop","15377"
"workshops","5362"
"worktable","8"
"world","295523"
"worldly","1134"
"worlds","11180"
"world's","12764"
"worldshaking","0"
"worldwide","18597"
"worm","4110"
"wormhole","2001"
"worms","5342"
"wormwood","1187"
"wormy","58"
"worn","8275"
"wornout","13"
"worried","10980"
"worriedly","52"
"worries","2478"
"worrisome","236"
"worry","27060"
"worrying","3092"
"worse","34812"
"worsen","400"
"worsened","334"
"worsens","111"
"worship","9668"
"worshiped","331"
"worshipful","82"
"worshiping","508"
"worshipped","959"
"worshippers","601"
"worshipping","952"
"worst","23946"
"worsted","37"
"wort","1623"
"worth","81429"
"worthiest","4"
"worthless","5546"
"worthlessness","132"
"worthwhile","5520"
"worthy","6530"
"would","1278502"
"wouldbe","57"
"wouldn't","87980"
"wound","6139"
"wounded","3852"
"wounding","313"
"wounds","2743"
"wove","116"
"woven","884"
"wow","14332"
"wrack","43"
"wraith","3289"
"wrangle","99"
"wrangled","20"
"wrangler","788"
"wrap","5973"
"wrapped","6130"
"wrapper","1761"
"wrappers","814"
"wrapping","1681"
"wraps","1747"
"wrath","5643"
"wrathful","43"
"wreak","453"
"wreath","287"
"wreathe","9"
"wreathed","33"
"wreaths","83"
"wreck","2161"
"wreckage","452"
"wrecked","802"
"wrecker","72"
"wrecking","406"
"wren","692"
"wrench","1389"
"wrenched","168"
"wrenches","341"
"wrenching","240"
"wrest","150"
"wrestle","952"
"wrestler","1141"
"wrestler's","44"
"wrestles","90"
"wrestling","5323"
"wrestlings","5"
"wretch","153"
"wretched","3585"
"wretchedness","45"
"wriggle","251"
"wright","8275"
"Wrigley","383"
"wring","266"
"wringer","70"
"wrings","17"
"wrinkle","385"
"wrinkled","560"
"wrinkles","586"
"wrinkly","69"
"wrist","4355"
"wristband","36"
"wrists","2255"
"wristwatch","146"
"writ","1279"
"write","132648"
"writer","22933"
"writers","19496"
"writer's","2003"
"writes","565774"
"writhe","176"
"writhed","269"
"writhing","817"
"writing","73085"
"writings","5891"
"writs","216"
"written","103440"
"wrong","138848"
"wrongdoer","54"
"wronged","346"
"wrongful","560"
"wrongdoing","695"
"wrongly","1415"
"wrongs","1294"
"wrote","1028146"
"wrought","544"
"wry","348"
"wryly","117"
"Wyndham's","12"
"Wyoming","1981"
"Xavier","2967"
"Xavier's","132"
"xenon","253"
"xenophobia","323"
"xenophobic","344"
"xerox","2944"
"xylophone","67"
"xylophones","12"
"yacht","1006"
"yachters","2"
"yachting","90"
"yachts","219"
"yachtsman","11"
"yachtsmen","10"
"yahoo","1800"
"yak","764"
"yaks","122"
"Yale","4146"
"Yale's","79"
"Yalta","97"
"yam","577"
"yammer","42"
"yank","1559"
"yanked","895"
"Yankee","1704"
"Yankees","1288"
"yanking","376"
"yanks","1020"
"yap","642"
"yapping","191"
"yard","7418"
"yardage","234"
"yards","5654"
"yardstick","269"
"yarn","3131"
"yarns","328"
"yarrow","123"
"yawl","30"
"yawn","1333"
"yawning","333"
"yaws","16"
"ye","7263"
"yea","4245"
"yeah","50018"
"year","246566"
"yearbook","880"
"yearling","101"
"yearlong","16"
"yearly","2845"
"yearn","348"
"yearned","94"
"yearning","567"
"yearningly","7"
"yearnings","89"
"years","348898"
"year's","8255"
"yeast","6894"
"yeasts","385"
"yeasty","44"
"Yeats","402"
"yell","3322"
"yelled","2100"
"yeller","63"
"yelling","2918"
"yellow","19319"
"yellowed","264"
"yellowing","282"
"yellowish","255"
"yelp","212"
"yelped","174"
"yelping","90"
"yelps","77"
"Yemen","630"
"yen","3686"
"yeoman","199"
"yes","197092"
"yesterday","21313"
"yesterday's","1683"
"yet","159994"
"yesteryear","310"
"yeti","2772"
"Yiddish","768"
"yield","6182"
"yielded","918"
"yielding","926"
"yields","2699"
"yin","1221"
"yip","710"
"yippee","226"
"yodel","132"
"yodeling","47"
"yoga","1985"
"yogurt","1279"
"yoke","996"
"yokel","53"
"yokels","60"
"yolk","324"
"yon","279"
"yonder","291"
"Yonkers","323"
"yore","383"
"York","79856"
"Yorker's","16"
"York's","523"
"Yorkshire","1389"
"Yorktown","532"
"Yosemite","617"
"you","5030485"
"you'd","41121"
"you'll","88349"
"young","66849"
"younger","10673"
"youngest","1536"
"youngish","63"
"young's","451"
"youngster","508"
"youngsters","1043"
"youngster's","41"
"your","1711893"
"you're","225850"
"yours","32621"
"yourself","84061"
"yourselves","3506"
"youth","14084"
"youthful","828"
"youths","873"
"you've","68786"
"yowl","76"
"Yucatan","302"
"yucca","283"
"Yugoslav","3395"
